Week_Start,Reported_Category,Store_Type,Reported_Retailer,Competitor_Volume,Competitor_Sales
2024-07-01,Drinks,Convenience,CornerSaore Inc,2124,4069.48
2026-01-12,snacks,Hypermarket,MegaMart,4758,17305.74
2024-08-12,Beverages,Convenience,CornerStore Inc,4937,12437.56
2025-01-27,SNACK,Hypermarket,Giant Store,1159,6992.62
2026-05-11,Bevs,Supermarket,dAILY-sHOP,1572,5977.44
2024-04-15,Drinks,Hypermarket,MMART,2902,13668.54
2024-06-03,Liquid Refreshment,Supermarket,Daily-Shop,2908,8260.9
2024-06-17,F&B - Bev,Hypermarket,giant,2305,12308.39
2025-04-14,Drinks,Hypermarket,giant store,1690,10959.05
2024-12-30,Liquid Refreshment,Hypermarket,GiantStore,4539,25044.66
2025-02-17,liquid refreshment,Convenience,tHE cORNER sTORE,4946,21236.2
2024-10-28,bEVS,Hypermarket,gIANT sTORE,2270,14646.65
2026-01-19,F&B - Bev,Supermarket,FreshGrocer LLC,1764,7107.08
2025-07-14,Drinks,Online,WEB CART,4701,19845.44
2024-12-16,Packaged Snacks,Supermarket,fREeH gROCER,1203,3601.51
2025-01-27,drinks,Hypermarket,MEGAMART INC.,4411,20144.08
2025-02-17,Bites,Hypermarket,MegaMart Inc.,3561,14124.38
2024-01-01,Bevs,Supermarket,Daily Shop,2631,8885.57
2024-12-09,F&B - Snacks,Supermarket,dAILYsHOP,1040,6705.4
2026-03-30,bITES,Online,PrimePantry Delivery,2421,11481.21
2025-02-03,f&b - bEV,Hypermarket,Giant,3130,15859.22
2024-04-01,Snack,Hypermarket,The Giant Store,3246,15871.2
2026-01-26,Bites,Convenience,THE CORNER STORE,3129,9331.28
2026-01-19,bEVERAGE,Convenience,The Corner Store,1387,5919.73
2024-07-15,drinks,Hypermarket,GIANT CORP,4383,9126.56
2025-12-29,f&b - sNACKS,Online,Web Cart,3887,11367.96
2026-01-19,F&B - Snacks,Online,WebCart,4235,9611.91
2026-03-09,Beverages,Hypermarket,The Giant Store,1698,5916.07
2025-05-26,Beverages,Convenience,cornerstore inc,2316,4949.62
