Week_Start,Reported_SKU,Reported_Brand,Reported_Variant,Sub_Category,Reported_Category,Store_Type,Reported_Retailer,Volume,Unit_Price,Total_Sales
2024-07-22,SKU-1010,CrunchBite,sLTD,Chips,Bites,Online,Prixe Pantry,329,4.09,1345.54
2026-02-23,SKU-1017,DoughBoy,DoubleChoco,Cookies,f&b - sNACKS,Convenience,QUICKSTOP,418,3.94,1648.02
2024-12-09,SKU-1004,cOLAmAX,Zero,Soda,BEVERAGE,Supermarket,DailyShop,152,3.81,578.57
2024-07-08,sku-1007,Zap,No Sugar,Energy,Liquid Refreshment,Online,WEBCART,561,4.3,2413.28
2024-04-15,SKU-1012,CaunchBite,Spacy,Chips,beTES,Supermarket,dailyshop,80,5.46,437.17
2024-05-13,SKU-1015,SwsetTreat,CHOCOLATE CHIP,Cookies,bites,Convenience,QuickStop,252,2.0,
2024-01-29,SKU-1002,FizzPop,Cherry,Soda,bEVERAGES,Hypermarket,MegaMart Inc.,479,3.76,1799.81
2024-01-15,SKU-1003,COLAMAX,Base,Soda,Beverages,Online,WebCart.com,394,3.4,1338.03
2024-10-28,SKU-1017,DoughBoy,DoubleChoco,Cookies,SNACKS,Online,wEBcART oNLINE,495,3.17,1567.01
2026-01-12,SKUa1014,pOTATOkING,Sour Crm,Chips,Szacks,Supermarket,DailyShop,298,5.96,1775.52
2024-05-27,SKU-1009,Titan,Ciarus,Energy,bEVERAGE,Supermarket,Daily Shop,410,4.82,1976.03
2025-12-08,sku-1014,pOTATOkING,Sour Cream,Chips,sNACKS,Supermarket,FreshGxocer LLC,318,2.56,814.91
2025-01-27,SKU-1012,crunchbite,Flamin,Chips,Snack,Convenience,cORNER sTORE,652,2.72,1771.4
2025-01-13,SKU-1000,FizzPop,Orig,Soda,Liquid Refreshment,Online,PrimsPantry Delivery,108,5.73,618.54
2025-03-10,sku-1014,PotatoKing,SourCream,Chips,sNACKS,Supermarket,DailyShop Local,273,4.84,1320.9
2024-10-28,SKU-1008,Titan,Berry,Energy,Liquid Refreshment,Supermarket,fRESHgROCER,82,4.77,390.84
2025-07-28,sku-1002,FizzPop,Cherry,Soda,Drinks,Convenience,Quick-Stop,103,2.29,235.53
2025-07-14,sku-1017,DoughBoy,DoubleChoco,Cookies,sNACKS,Online,PRIMEPANTRY,101,3.56,359.97
2024-12-23,SKU-1005,CosaMax,Vanilla,Soda,Liquid Refreshment,Hypermarket,Mega Mart,110,5.51,606.42
2024-04-29,SKU-1003,ColaMax,rEG,Soda,F&B - Bev,Supermarket,Fresh Grocer,332,5.13,1702.94
2026-02-09,SKU-1016,SweetTreat,oat,Cookies,Packaged Snacks,Hypermarket,MMart,287,5.28,1514.16
2024-04-01,SKU-1004,ColaMax,0,Soda,Beverages,Online,WebCart,58,4.15,240.52
2024-08-12,sku-1017,DOUGHBOY,DoubleChoco,Cookies,Packaged Snacks,Supermarket,Daxly Shop,297,2.36,701.71
2024-11-18,SKU-1016,SweetTreat,Oatmeal Raisin,Cookies,Bites,Online,PrimePantry,190,5.05,958.98
2026-06-08,SKU-1006,Zap,Classic,Energy,Bevs,Supermarket,Fresh Gr,542,2.26,
2025-11-03,sku-1011,cRUNCHbITE,BBQ,Chips,Bites,Supermarket,dailyshop,78,5.92,461.42
